שם מלא,בית ספר,זכר - נקבה,שנת סיום,תאריך לידה,עיר,מגמה,תאריך גיוס,תאריך שחרור
מאיה סלים,מוצקין,נקבה,"תשפ""ה",2002-07-13,בית שמש,עיצוב שיער,,
בר חדד,עכו מרום,זכר,"תשע""ח",2005-02-08,גבע בנימין,מחשבים,,
אלון נסראללה,עכו מרום,זכר,"תשפ""ד",2001-07-11,בית שמש,עיצוב שיער,,
מוחמד אלמוג,מוצקין,זכר,"תשפ""ד",,גבע בנימין,תקשוב,,
אמל טהא,ירושלים בית הערבה,נקבה,"תשפ""ד",2003-02-12,אבן ספיר,,,
אלון אשכנזי,מוצקין,זכר,"תשפ""א",2003-03-04,גבעת זאב,תקשוב,,
לינוי קדוש,ירושלים בית הערבה,נקבה,"תשפ""ה",2002-04-07,מבשרת ציון,,2021-04-11,
בר אלבז,עכו מרום,זכר,"תשע""ח",2005-11-17,גבע בנימין,התמחות יישומי אוטו-טק,,
ספיר חטיב,עכו מרום,נקבה,"תשפ""ג",2000-10-27,,עיצוב,,
נדב זועבי,עכו מרום,זכר,"תשפ""ד",2007-02-17,מודיעין,מחשבים,,
גיא חוראני,ירושלים בית הערבה,זכר,"תשפ""א",2005-05-12,גבע בנימין,אוטוטרוניקה,,
יובל נאור,אורט אדיבי אשקלון,זכר,"תשפ""ג",2000-07-04,אבן ספיר,מחשבים,,
יוסף עואד,ירושלים בית הערבה,זכר,"תשפ""ד",2007-01-13,גבעת זאב,תחזוקת מערכות מכניות,2022-07-21,
רועי נסראללה,אורט אדיבי אשקלון,זכר,"תשפ""ה",2006-03-14,צור הדסה,עיצוב,,
אסף אזולאי,ירושלים בית הערבה,זכר,"תשפ""ה",2007-11-30,,עיצוב שיער,,
אלון אברהם,צור ברק,זכר,"תשפ""ג",2006-03-25,גבע בנימין,מסגרות מבנים,,
רוני אשכנזי,ירושלים בית הערבה,נקבה,"תשפ""א",2006-04-15,מעלה אדומים,עיצוב,,
טל סעדה,ירושלים בית הערבה,נקבה,"תשפ""ג",2001-07-01,ירושלים,,,
סאמר דראושה,ירושלים בית הערבה,זכר,"תשפ""ה",2004-05-09,הר אדר,תקשוב,,
רן אבו ראס,ירושלים בית הערבה,זכר,"תשפ""ב",2000-02-13,,תחזוקת מערכות מכניות,,
שחר אוחיון,אורט אדיבי אשקלון,זכר,"תשפ""ה",2004-01-20,מעלה אדומים,,,
אלעד סרסור,אורט אדיבי אשקלון,זכר,"תשפ""ג",2001-02-23,מודיעין,תקשוב,,
מתן אבו ראס,אורט אדיבי אשקלון,זכר,"תשפ""ג",2000-02-02,גבע בנימין,מערכות הספק פיקוד ובקרה,,
אדם טויטו,אורט אדיבי אשקלון,זכר,"תשפ""ה",2003-01-24,גבעת זאב,תחזוקת מערכות מכניות,,
אמל מלכה,ירושלים בית הערבה,נקבה,"תשפ""ה",2003-08-11,ירושלים,מחשבים,,
אמל שרעבי,אורט אדיבי אשקלון,נקבה,"תשע""ח",2004-07-21,צור הדסה,מחשבים,,
ליאור נחום,מוצקין,נקבה,"תש""ף",2001-04-22,הר אדר,מערכות הספק פיקוד ובקרה,,
רועי עמר,בית שאן,זכר,"תשפ""ה",2006-12-05,מבשרת ציון,תקשוב,,
דניאל וקנין,עכו מרום,זכר,"תשפ""ה",2007-05-09,מבשרת ציון,מחשבים,,
שי עמר,ירושלים בית הערבה,זכר,"תשפ""א",2001-10-01,גבעת זאב,יישומי עיצוב שיער וטיפוח החן,,
רן חיים,אורט אדיבי אשקלון,זכר,"תשפ""ה",2007-02-28,,תחזוקת מערכות מכניות,,
ניצן טויטו,ירושלים בית הערבה,נקבה,"תש""ף",2000-04-14,קרית יערים,,,
מתן זועבי,ירושלים בית הערבה,זכר,"תשפ""ב",2006-07-04,צור הדסה,תקשוב,,
אחמד חיים,עכו מרום,זכר,"תשפ""ג",2005-10-01,הר אדר,עיצוב,,
גיא כהן,אורט אדיבי אשקלון,זכר,"תשפ""ה",2002-05-14,מבשרת ציון,אוטוטרוניקה,,
דועא נאור,ירושלים בית הערבה,נקבה,"תשפ""ד",2004-03-20,הר אדר,עיצוב(חנמ),,
נטע קדוש,אורט אדיבי אשקלון,נקבה,"תשפ""ב",2004-12-15,גבע בנימין,עיצוב(חנמ),,
סאמר סלים,ירושלים בית הערבה,זכר,"תש""ף",2001-12-31,גבעת זאב,התמחות יישומי אוטו-טק,,
הילה זועבי,צור ברק,נקבה,"תשפ""ד",2006-12-15,גבע בנימין,בישול מלונאי,,
מתן סרסור,בית שאן,זכר,"תשפ""ב",2005-03-14,קרית יערים,מחשבים,,
אלון נחום,ירושלים בית הערבה,זכר,"תשפ""א",2005-08-09,צור הדסה,,,
אסף עואד,מוצקין,זכר,"תשפ""ד",2000-11-21,בית שמש,אוטוטרוניקה,,
ספיר אברהם,אורט אדיבי אשקלון,נקבה,"תשפ""ב",2001-12-23,,מערכות תיכון וייצר באמצעות מחשב,,
אביב מוסקוביץ,מוצקין,זכר,"תשע""ט",2004-09-09,גבע בנימין,תקשוב(חנמ),,
אריאל מוסקוביץ,אורט אדיבי אשקלון,זכר,"תשפ""ג",2006-04-23,הר אדר,,,
יוסף עוזרי,ירושלים בית הערבה,זכר,"תשפ""ה",2000-01-16,מודיעין,עיצוב שיער,,2025-08-27
כרים ביטון,מוצקין,זכר,"תשע""ח",2007-05-14,גבעת זאב,תקשוב,,
ריהאם אשכנזי,אורט אדיבי אשקלון,נקבה,"תשפ""ה",2006-03-22,בית שמש,עיצוב שיער,,
אלון עוזרי,אורט אדיבי אשקלון,זכר,"תשפ""ה",2002-09-04,קרית יערים,מערכות תיכון וייצר באמצעות מחשב,,
מרים נאור,עכו מרום,נקבה,"תשפ""ג",2004-12-01,גבעת זאב,אוטוטרוניקה,,
טל עואד,עכו מרום,נקבה,"תשפ""ד",2003-01-19,אבן ספיר,יישומי עיצוב שיער וטיפוח החן,,
עדי עבד אלחק,אורט אדיבי אשקלון,נקבה,"תשפ""א",2005-03-24,מעלה אדומים,תחזוקת מערכות מכניות,,
ליאור סעדה,ירושלים בית הערבה,זכר,"תשפ""ד",,הר אדר,עיצוב שיער,,
מתן אלבז,עכו מרום,זכר,"תש""ף",2004-12-19,גבעת זאב,עיצוב שיער,,
ניצן מנסור,ירושלים בית הערבה,נקבה,"תשפ""ג",2007-10-16,ירושלים,יישומי עיצוב שיער וטיפוח החן,2020-08-04,
נדב סלים,עכו מרום,זכר,"תשפ""ה",2003-12-31,,התמחות יישומי אוטו-טק,,
בר מלכה,אורט אדיבי אשקלון,זכר,"תשפ""ה",2001-01-21,גבע בנימין,התמחות יישומי אוטו-טק,,
ניצן פלד,ירושלים בית הערבה,נקבה,"תש""ף",2000-10-19,גבעת זאב,מערכות הספק פיקוד ובקרה,2021-06-20,2025-11-06
עלי סלים,ירושלים בית הערבה,זכר,"תשפ""ג",2003-07-31,מבשרת ציון,מערכות הספק פיקוד ובקרה,,
מרים אגבאריה,ירושלים בית הערבה,נקבה,"תשפ""ד",2001-03-03,ירושלים,,,
איתי זועבי,אורט אדיבי אשקלון,זכר,"תשע""ט",2006-02-15,הר אדר,מערכות הספק פיקוד ובקרה,,
אחמד סבג,ירושלים בית הערבה,זכר,"תשפ""ד",2007-01-25,אפרת,עיצוב שיער,,
בר אשכנזי,ירושלים בית הערבה,זכר,"תשפ""ב",2002-02-03,מבשרת ציון,עיצוב שיער,,
מוחמד רחמים,ירושלים בית הערבה,זכר,"תשפ""ג",2002-06-19,מודיעין,מערכות הספק פיקוד ובקרה,,
דועא כרמלי,ירושלים בית הערבה,נקבה,"תשפ""ד",2005-06-16,צור הדסה,מחשבים,,
אלון דראושה,צור ברק,זכר,"תשפ""ג",2006-05-09,צור הדסה,עיצוב שיער,,
רועי אגבאריה,עכו מרום,זכר,"תשע""ט",2003-07-12,הר אדר,תחזוקת מערכות מכניות(חנמ),,
שחר טל,ירושלים בית הערבה,זכר,"תשע""ח",2005-06-11,מבשרת ציון,תחזוקת מערכות מכניות(חנמ),,
עלי שטרית,ירושלים בית הערבה,זכר,"תשפ""א",2000-04-21,גבע בנימין,תחזוקת מערכות מכניות,,
הילה עבד אלחק,אורט אדיבי אשקלון,נקבה,"תשפ""ב",2005-02-28,גבעת זאב,צירוף מקצועות,,
הדס מלכה,אורט אדיבי אשקלון,נקבה,"תשפ""ד",2000-03-21,בית שמש,עיצוב שיער,,
אדם סעדה,אורט אדיבי אשקלון,זכר,"תשפ""ד",2006-03-19,אפרת,תקשוב,,
אדם עוזרי,ירושלים בית הערבה,זכר,"תש""ף",2000-06-12,מבשרת ציון,אוטוטרוניקה,,
אלעד אוחיון,מוצקין,זכר,"תשפ""ד",2003-03-12,,מחשבים,,
נטע יפרח,אורט אדיבי אשקלון,נקבה,"תשפ""ג",2006-02-01,גבעת זאב,מחשבים,,
נועה נגר,עכו מרום,נקבה,"תשפ""ב",2006-12-31,גבעת זאב,,,
ניצן צדוק,עכו מרום,נקבה,"תש""ף",2006-04-27,צור הדסה,אוטוטרוניקה,,
הדס סלים,אורט אדיבי אשקלון,נקבה,"תשפ""ד",2003-06-26,,אוטוטרוניקה,,
אדם יפרח,אורט אדיבי אשקלון,זכר,"תשע""ח",,קרית יערים,,,
כרים לוי,עכו מרום,זכר,"תש""ף",2005-01-27,בית שמש,התמחות יישומי אוטו-טק,2023-11-11,
אורי כהן,אורט אדיבי אשקלון,זכר,"תשפ""ד",2005-12-04,הר אדר,יישומי עיצוב שיער וטיפוח החן,2025-04-08,
סאמר חדד,עכו מרום,זכר,"תשפ""ב",2002-05-04,ירושלים,מחשבים,,
איתי קלימי,עכו מרום,זכר,"תשפ""ג",2003-05-13,גבע בנימין,עיצוב שיער,,
רועי דראושה,צור ברק,זכר,"תשפ""ה",2001-12-25,קרית יערים,תחזוקת מערכות מכניות,,
אביב אלבז,מוצקין,זכר,"תשפ""ג",2007-10-27,צור הדסה,תקשוב,,
נועם קלימי,אורט אדיבי אשקלון,זכר,"תשפ""ד",2000-04-24,בית שמש,מסגרות מבנים,,
סאמר חוראני,עכו מרום,זכר,"תשפ""ב",2004-01-09,הר אדר,תחזוקת מערכות מכניות(חנמ),,
אדם שפירא,ירושלים בית הערבה,זכר,"תשפ""ג",2007-06-11,מבשרת ציון,,,
עומר פרץ,ירושלים בית הערבה,זכר,"תשע""ח",2001-09-18,הר אדר,תקשוב(חנמ),2025-01-20,
עומר דראושה,ירושלים בית הערבה,זכר,"תשפ""ג",2000-04-14,מעלה אדומים,תקשוב,,
מתן בן דוד,אורט אדיבי אשקלון,זכר,"תשפ""ה",2004-03-04,ירושלים,,2024-01-12,
אלון עטיה,אורט אדיבי אשקלון,זכר,"תשפ""ד",2003-08-03,ירושלים,מלונאות,,
ניצן לביא,מוצקין,נקבה,"תשפ""ד",2000-04-11,בית שמש,מחשבים,,
אלון סעדה,ירושלים בית הערבה,זכר,"תשפ""ד",2003-08-26,מבשרת ציון,,,
יוסף סלים,עכו מרום,זכר,"תשפ""ב",2004-05-26,הר אדר,תקשוב,,
דניאל מנסור,בית שאן,זכר,"תשפ""ג",2005-02-09,מבשרת ציון,,,
דועא סלומון,בית שאן,נקבה,"תשפ""ה",2001-03-15,גבע בנימין,מלונאות,,
גיא נגר,ירושלים בית הערבה,זכר,"תשפ""ג",2007-11-10,ירושלים,אוטוטרוניקה,,
ליאור אברהם,ירושלים בית הערבה,זכר,"תשפ""ג",2004-03-08,אפרת,עיצוב,,
כרים חדד,בית שאן,זכר,"תשפ""א",2007-07-04,קרית יערים,עיצוב(חנמ),,
אסף פלד,ירושלים בית הערבה,זכר,"תשפ""א",2002-05-10,צור הדסה,אוטוטרוניקה,,
עידו לוי,ירושלים בית הערבה,זכר,"תשע""ח",2001-06-11,צור הדסה,תחזוקת מערכות מכניות,,
עמית סויסה,ירושלים בית הערבה,זכר,"תשפ""א",2007-03-01,ירושלים,תחזוקת מערכות מכניות,,
רועי עוזרי,אורט אדיבי אשקלון,זכר,"תשפ""ד",2003-09-30,אפרת,,,
חסן ברששת,בית שאן,,"תשפ""ד",2001-12-07,מודיעין,תקשוב,,
יוסף טל,עכו מרום,זכר,"תשפ""ב",2007-03-23,צור הדסה,מחשבים,2025-07-12,
אלון נגר,אורט אדיבי אשקלון,זכר,"תשפ""ה",2006-10-03,מעלה אדומים,תחזוקת מערכות מכניות,,
אלון סלומון,מוצקין,זכר,"תשפ""ג",2002-01-16,אבן ספיר,תחזוקת מערכות מכניות,,
מאיה שרעבי,ירושלים בית הערבה,נקבה,"תשפ""ג",2002-05-22,מודיעין,אוטוטרוניקה,,
שי לוי,צור ברק,זכר,"תשפ""ד",2003-05-05,גבע בנימין,עיצוב(חנמ),,
אחמד פרידמן,אורט אדיבי אשקלון,זכר,"תשפ""ד",2004-09-07,,,,
רועי קלימי,ירושלים בית הערבה,זכר,"תשע""ח",2002-02-16,מודיעין,מערכות סיב````ם תיב````ם,,
מאהר בן דוד,בית שאן,זכר,"תשפ""ד",2007-02-24,מבשרת ציון,תחזוקת מערכות מכניות,,
הראל עוזרי,בית שאן,זכר,"תשפ""ה",2004-02-22,,תחזוקת מערכות מכניות,,
נתנאל סויסה,ירושלים בית הערבה,זכר,"תשפ""ה",2006-06-30,ירושלים,מערכות תיכון וייצר באמצעות מחשב,2023-05-02,
עידו חוראני,עכו מרום,זכר,"תש""ף",2002-06-23,מודיעין,מחשבים,,
אמל חטיב,מוצקין,נקבה,"תשפ""ה",2002-04-11,ירושלים,מסגרות מבנים,,
ליאור נאור,ירושלים בית הערבה,נקבה,"תשפ""ב",2000-05-06,מבשרת ציון,אוטוטרוניקה,,
אלה שפירא,עכו מרום,נקבה,"תשע""ט",2007-09-07,צור הדסה,התמחות יישומי אוטו-טק,,
ספיר עבד אלחק,עכו מרום,נקבה,"תשפ""ה",2003-12-18,צור הדסה,בישול מלונאי,2024-05-03,
נועם ברששת,עכו מרום,זכר,"תשפ""ה",2006-10-01,מעלה אדומים,התמחות יישומי אוטו-טק,,
ליאור רחמים,עכו מרום,נקבה,"תש""ף",2002-04-17,מודיעין,בישול מלונאי,2019-02-24,2024-02-05
תומר שפירא,אורט אדיבי אשקלון,זכר,"תשפ""ד",2004-08-05,ירושלים,בישול מלונאי,,
כרים חיים,עכו מרום,זכר,"תשפ""ה",2007-02-16,ירושלים,עיצוב(חנמ),2020-06-23,
נטע אברהם,בית שאן,נקבה,"תש""ף",2007-01-06,אפרת,מערכות תיכון וייצר באמצעות מחשב,2023-05-31,
עמית ברששת,עכו מרום,זכר,"תש""ף",2004-07-20,בית שמש,תקשוב,,
מתן לביא,עכו מרום,זכר,"תשפ""ג",2003-03-27,בית שמש,תקשוב,,
רן נסראללה,עכו מרום,זכר,"תשע""ח",2004-03-22,,עיצוב שיער,,
נועה רחמים,עכו מרום,נקבה,"תשפ""א",2000-03-22,אפרת,מערכות הספק פיקוד ובקרה,,
ספיר חדד,אורט אדיבי אשקלון,נקבה,"תשפ""ה",2005-10-17,אפרת,התמחות יישומי אוטו-טק,,
יהונתן גבאי,עכו מרום,זכר,"תשפ""ב",2005-03-09,גבעת זאב,עיצוב(חנמ),,
הראל עבד אלחק,צור ברק,זכר,"תשפ""ה",2007-03-17,אפרת,התמחות יישומי אוטו-טק,,
שחר זכריה,עכו מרום,זכר,"תשפ""ב",2005-12-19,קרית יערים,תקשוב,,
אסף גבאי,בית שאן,זכר,"תשפ""ד",2004-08-22,גבע בנימין,תקשוב(חנמ),,
נטע נגר,אורט אדיבי אשקלון,נקבה,"תשפ""ג",2007-05-25,צור הדסה,תקשוב,,
גיא טל,ירושלים בית הערבה,זכר,"תשפ""ג",2002-01-22,גבעת זאב,התמחות יישומי אוטו-טק,,
אור רחמים,אורט אדיבי אשקלון,נקבה,"תש""ף",2000-05-05,גבעת זאב,מחשבים,,
אלון אבו ראס,ירושלים בית הערבה,זכר,"תשע""ח",2000-12-04,גבעת זאב,,,
שי עבד אלחק,ירושלים בית הערבה,זכר,"תשפ""ד",2004-10-04,בית שמש,עיצוב(חנמ),,
עמית אגבאריה,עכו מרום,זכר,"תשפ""ד",2005-03-11,בית שמש,עיצוב שיער,,
ריהאם עבד אלחק,צור ברק,נקבה,"תשפ""ד",2005-06-18,מעלה אדומים,מחשבים,2021-11-30,
רותם קדוש,אורט אדיבי אשקלון,נקבה,"תשפ""ה",2006-06-30,גבעת זאב,אוטוטרוניקה,,
אחמד רחמים,אורט אדיבי אשקלון,זכר,"תשפ""ג",2004-11-07,מעלה אדומים,תחזוקת מערכות מכניות,,
מאהר אגבאריה,בית שאן,זכר,"תש""ף",2002-07-07,מעלה אדומים,בישול מלונאי,,
ניצן מזרחי,עכו מרום,נקבה,"תשפ""ה",2003-06-19,גבעת זאב,תחזוקת מערכות מכניות(חנמ),,
מאהר קלימי,ירושלים בית הערבה,זכר,"תשע""ט",2005-08-15,הר אדר,מחשבים,,
יהונתן חטיב,עכו מרום,זכר,"תשפ""ד",2002-03-05,מודיעין,מסגרות מבנים,,
מוחמד אגבאריה,ירושלים בית הערבה,זכר,"תשפ""ג",2005-02-08,ירושלים,,,
רן לוי,ירושלים בית הערבה,זכר,"תשפ""ד",2000-07-22,בית שמש,,,
יונתן לביא,אורט אדיבי אשקלון,זכר,"תשפ""ד",2007-02-28,צור הדסה,תקשוב(חנמ),,
אלעד דוד,ירושלים בית הערבה,זכר,"תשפ""ה",2007-06-21,קרית יערים,מחשבים,,
לינוי רחמים,עכו מרום,נקבה,"תשפ""ד",2006-11-17,בית שמש,בישול מלונאי,,
אורי בן שימול,מוצקין,זכר,"תשפ""ה",2001-06-05,צור הדסה,תקשוב,,
מאיה חוראני,אורט אדיבי אשקלון,נקבה,"תשפ""ג",2003-07-15,צור הדסה,תחזוקת מערכות מכניות,,
אחמד זכריה,ירושלים בית הערבה,,"תשפ""ה",2001-02-02,הר אדר,תקשוב,,
איתי צדוק,אורט אדיבי אשקלון,זכר,"תשפ""ב",2004-06-22,גבע בנימין,,,
מתן מנסור,צור ברק,זכר,"תשפ""ד",2006-08-03,,,,
גיא עבד אלחק,בית שאן,זכר,"תשפ""ג",2004-06-13,ירושלים,יישומי עיצוב שיער וטיפוח החן,2022-03-06,
שקד אשכנזי,אורט אדיבי אשקלון,נקבה,"תשפ""א",2002-06-13,בית שמש,תקשוב,,
נתנאל סרסור,מוצקין,זכר,"תש""ף",2006-03-07,הר אדר,התמחות יישומי אוטו-טק,,
אחמד סויסה,בית שאן,זכר,"תש""ף",2002-12-24,גבע בנימין,מחשבים,,
שי יפרח,אורט אדיבי אשקלון,זכר,"תשע""ט",2003-06-04,,יישומי עיצוב שיער וטיפוח החן,,
רותם נסראללה,אורט אדיבי אשקלון,נקבה,"תשפ""ד",2000-05-05,מודיעין,עיצוב שיער,,
מאהר זכריה,ירושלים בית הערבה,זכר,"תשפ""ב",2001-02-14,אבן ספיר,עיצוב(חנמ),,
יובל אלבז,מוצקין,זכר,"תשפ""ב",2004-02-20,אבן ספיר,עיצוב שיער,,
דנה אברהם,ירושלים בית הערבה,נקבה,"תשפ""ה",2001-04-03,צור הדסה,מערכות סיב````ם תיב````ם,,
בר זועבי,בית שאן,זכר,"תשפ""ה",2003-04-13,אפרת,עיצוב שיער,,
רועי מזרחי,צור ברק,זכר,"תשפ""ב",2007-10-02,הר אדר,תקשוב,,
כרים עטיה,ירושלים בית הערבה,זכר,"תשפ""ב",2000-02-09,ירושלים,תקשוב,,
שי עוזרי,ירושלים בית הערבה,זכר,"תשפ""ד",2003-07-21,הר אדר,אוטוטרוניקה,,
בר אברהם,עכו מרום,זכר,"תשפ""ד",2005-02-07,צור הדסה,,,
סאמר אגבאריה,עכו מרום,זכר,"תשפ""ה",2002-10-18,אבן ספיר,אוטוטרוניקה,2025-01-15,
ליאור סבג,עכו מרום,נקבה,"תשפ""ד",2001-07-04,גבע בנימין,מחשבים,,
נתנאל לביא,עכו מרום,זכר,"תשפ""ד",2003-05-01,גבע בנימין,עיצוב(חנמ),,
יונתן קדוש,עכו מרום,זכר,"תשפ""ד",2004-02-09,,עיצוב,,
רן אשכנזי,עכו מרום,זכר,"תשפ""ב",2004-11-21,,עיצוב,,
מאהר וקנין,עכו מרום,זכר,"תשפ""ב",2003-05-06,ירושלים,,,
יוסף סויסה,אורט אדיבי אשקלון,זכר,"תשפ""ד",2005-12-11,אבן ספיר,תחזוקת מערכות מכניות,,
אדם כהן,ירושלים בית הערבה,זכר,"תשפ""ה",2003-05-02,גבעת זאב,עיצוב שיער,,2026-03-03
מתן עוזרי,ירושלים בית הערבה,זכר,"תשפ""ד",2000-01-01,צור הדסה,אוטוטרוניקה,,
ריהאם אזולאי,אורט אדיבי אשקלון,נקבה,"תשפ""ב",2005-04-18,מודיעין,התמחות יישומי אוטו-טק,,
אורי מנסור,עכו מרום,זכר,"תשפ""ד",2002-02-03,מבשרת ציון,מערכות סיב````ם תיב````ם,,
יהונתן מנסור,עכו מרום,זכר,"תשע""ט",2006-09-13,הר אדר,התמחות יישומי אוטו-טק,,
כרים רוזן,עכו מרום,זכר,"תשפ""ה",2004-06-07,גבע בנימין,התמחות יישומי אוטו-טק,,
מוחמד חוראני,עכו מרום,זכר,"תשפ""א",2001-09-23,מעלה אדומים,,,
אסף נסראללה,ירושלים בית הערבה,זכר,"תשפ""ה",2007-03-09,מבשרת ציון,,,
יהונתן סרסור,אורט אדיבי אשקלון,זכר,"תשע""ט",2002-05-25,גבע בנימין,,,
מאיה טהא,אורט אדיבי אשקלון,נקבה,"תשפ""ב",2005-02-08,אפרת,עיצוב,2025-01-22,
שי דוד,אורט אדיבי אשקלון,זכר,"תשפ""ה",2005-12-21,מודיעין,מחשבים,,
דניאל נסראללה,מוצקין,,"תשפ""ג",2005-07-16,בית שמש,אוטוטרוניקה,,
נטע גבאי,ירושלים בית הערבה,נקבה,,2002-01-16,מבשרת ציון,מערכות סיב````ם תיב````ם,,
מאיה זכריה,ירושלים בית הערבה,נקבה,"תשפ""ה",2005-02-09,מבשרת ציון,התמחות יישומי אוטו-טק(חנמ),,
תומר עבד אלחק,עכו מרום,זכר,"תש""ף",2006-02-14,גבעת זאב,עיצוב שיער,,
אביגיל טל,עכו מרום,נקבה,"תשפ""ג",2004-03-06,גבע בנימין,תחזוקת מערכות מכניות,,
מאהר זועבי,מוצקין,זכר,"תש""ף",2006-03-16,,יישומי עיצוב שיער וטיפוח החן,,
דניאל מלכה,עכו מרום,זכר,"תשפ""ב",2004-10-24,גבעת זאב,עיצוב,,
עומר זכריה,מוצקין,זכר,"תש""ף",2004-07-01,מבשרת ציון,יישומי עיצוב שיער וטיפוח החן,,
יונתן חוראני,אורט אדיבי אשקלון,זכר,"תש""ף",2007-10-17,מודיעין,תקשוב,,
אביגיל עטיה,ירושלים בית הערבה,נקבה,"תשפ""א",2005-01-26,קרית יערים,אוטוטרוניקה,,
סלמא מנסור,בית שאן,נקבה,"תשפ""ב",2004-08-12,צור הדסה,עיצוב שיער,2019-03-20,
נועם כרמלי,אורט אדיבי אשקלון,זכר,"תש""ף",2001-02-26,מעלה אדומים,תקשוב,,
תמר אבו ראס,עכו מרום,נקבה,"תשפ""ה",2001-04-07,מעלה אדומים,,,
שי מלכה,אורט אדיבי אשקלון,זכר,"תשפ""ד",2003-03-19,ירושלים,עיצוב שיער,,
נתנאל נחום,מוצקין,זכר,"תשפ""ד",2004-09-12,אפרת,עיצוב שיער,,
אחמד עמר,בית שאן,זכר,"תשפ""ג",2001-02-03,מבשרת ציון,עיצוב שיער,,
תומר חוראני,אורט אדיבי אשקלון,זכר,"תשפ""ד",2001-01-08,הר אדר,מערכות סיב````ם תיב````ם,2020-11-17,
עמית זועבי,עכו מרום,זכר,"תשפ""ה",2004-10-23,צור הדסה,מערכות סיב````ם תיב````ם,,
רן חוראני,עכו מרום,זכר,"תשפ""ג",2004-01-31,גבע בנימין,תקשוב,,
יובל לביא,ירושלים בית הערבה,זכר,"תשע""ט",2001-04-30,קרית יערים,יישומי עיצוב שיער וטיפוח החן,,
כרים חוראני,ירושלים בית הערבה,זכר,"תשפ""ה",2000-05-04,מבשרת ציון,התמחות יישומי אוטו-טק(חנמ),,
יובל אשכנזי,ירושלים בית הערבה,זכר,"תש""ף",2000-05-21,אבן ספיר,עיצוב שיער,,
בר פלד,ירושלים בית הערבה,זכר,"תשע""ח",2004-11-04,,אוטוטרוניקה,,
נתנאל נסראללה,עכו מרום,זכר,"תשפ""ד",2007-02-28,גבעת זאב,עיצוב,,
מרים קלימי,עכו מרום,נקבה,"תשע""ט",2003-06-15,מעלה אדומים,עיצוב שיער,,
חסן מזרחי,ירושלים בית הערבה,זכר,"תשפ""ב",2007-06-10,ירושלים,מחשבים,,
חסן רחמים,עכו מרום,זכר,"תש""ף",2004-07-25,הר אדר,תקשוב,,
יונתן נאור,ירושלים בית הערבה,זכר,"תשפ""ה",2005-06-13,,תקשוב,,
אסף לביא,ירושלים בית הערבה,זכר,"תשפ""ד",2003-12-08,מודיעין,עיצוב(חנמ),,
נטע טל,אורט אדיבי אשקלון,נקבה,"תשפ""ה",2007-02-28,צור הדסה,עיצוב שיער,,
אדם סבג,בית שאן,זכר,"תשפ""ג",2006-06-14,ירושלים,עיצוב(חנמ),,
מוחמד כהן,אורט אדיבי אשקלון,זכר,"תשפ""ב",2006-07-08,צור הדסה,אוטוטרוניקה,,
נועם סרסור,אורט אדיבי אשקלון,זכר,"תשפ""ג",2004-12-24,הר אדר,מחשבים,,
בר ביטון,אורט אדיבי אשקלון,זכר,"תשפ""ד",2007-12-07,מודיעין,מערכות סיב````ם תיב````ם,,
עדי מלכה,עכו מרום,נקבה,"תשפ""ה",2006-08-06,גבעת זאב,התמחות יישומי אוטו-טק,,
רועי אוחיון,ירושלים בית הערבה,זכר,"תשפ""א",2000-11-07,גבע בנימין,אוטוטרוניקה,,
נטע אגבאריה,ירושלים בית הערבה,נקבה,"תשפ""ב",2007-02-18,מבשרת ציון,מחשבים,,
כרים וקנין,ירושלים בית הערבה,זכר,"תשע""ח",2001-05-12,גבעת זאב,מערכות סיב````ם תיב````ם,,
סאמר בן שימול,ירושלים בית הערבה,זכר,"תשפ""ג",2002-04-13,מעלה אדומים,עיצוב,,
אדם חיים,עכו מרום,זכר,"תשפ""ג",2000-09-09,מודיעין,בישול מלונאי,,
נועה מנסור,בית שאן,נקבה,"תשפ""ה",2005-03-11,מעלה אדומים,,,
מתן סבג,ירושלים בית הערבה,זכר,"תשפ""ד",2005-02-16,אפרת,עיצוב שיער,2024-02-15,
מתן שרעבי,אורט אדיבי אשקלון,זכר,"תשפ""ד",2002-07-09,צור הדסה,תחזוקת מערכות מכניות,,
ליאור מנסור,צור ברק,זכר,"תשפ""ב",2007-05-16,קרית יערים,מערכות הספק פיקוד ובקרה,,
אורי עוזרי,עכו מרום,זכר,"תשפ""ב",2002-01-31,אבן ספיר,תחזוקת מערכות מכניות,,
אדם נאור,מוצקין,זכר,"תשפ""ב",2007-11-14,בית שמש,בישול מלונאי,,
רותם קלימי,ירושלים בית הערבה,נקבה,"תשפ""ד",2003-08-13,הר אדר,מערכות תיכון וייצר באמצעות מחשב,,
עמית אשכנזי,עכו מרום,זכר,"תשפ""ה",2000-08-31,הר אדר,תחזוקת מערכות מכניות,,
הילה טהא,ירושלים בית הערבה,נקבה,"תש""ף",2003-11-24,מבשרת ציון,אוטוטרוניקה,,2025-12-03
יובל שטרית,עכו מרום,זכר,"תשפ""ה",2007-11-02,גבע בנימין,אוטוטרוניקה,2019-12-10,
